Inicio_CozMal,Fim_CozMal,Temp_Max_CozMal,Dur_CozMal
2023-01-18 01:51:56,2023-01-18 03:30:00,77.98638153076172,5883.6990000000005
2023-01-18 03:39:17,2023-01-18 05:22:02,78.02204895019531,6165.246
2023-01-18 05:41:49,2023-01-18 07:37:55,78.06420135498047,6966.303000000001
2023-01-18 07:38:12,2023-01-18 09:37:28,77.9539566040039,7155.56
2023-01-18 09:53:15,2023-01-18 11:28:02,77.92800903320312,5686.798000000001
2023-01-18 12:51:00,2023-01-18 14:27:33,77.83073425292969,5792.39
2023-01-18 14:37:42,2023-01-18 16:18:05,77.88909912109375,6023.011
2023-01-18 16:31:57,2023-01-18 18:02:59,77.85667419433594,5461.356000000001
2023-01-18 18:14:41,2023-01-18 19:49:46,78.02204895019531,5704.867
2023-01-18 19:58:58,2023-01-18 21:41:26,77.91179656982422,6148.691000000001
2023-01-18 21:50:14,2023-01-18 23:31:48,77.96692657470703,6093.68
2023-01-18 23:33:27,2023-01-19 01:26:23,77.91179656982422,6776.406000000001
2023-01-19 01:26:43,2023-01-19 03:26:11,77.99286651611328,7167.961
2023-01-19 03:32:58,2023-01-19 05:17:34,77.90855407714844,6276.054
2023-01-19 05:18:43,2023-01-19 07:14:51,77.8274917602539,6967.495000000001
2023-01-20 02:52:29,2023-01-20 04:18:41,78.67379760742188,5172.602000000001
2023-01-20 04:53:28,2023-01-20 06:20:31,78.36576080322266,5222.97
2023-01-20 06:38:44,2023-01-20 08:19:40,78.3171157836914,6056.408
2023-01-20 08:55:59,2023-01-20 10:20:58,78.37224578857422,5099.314
2023-01-20 12:10:06,2023-01-20 13:47:33,78.40467071533203,5846.700000000001
2023-01-20 14:00:44,2023-01-20 16:13:59,78.48897552490234,7994.769
2023-01-20 16:14:17,2023-01-20 17:59:26,78.23605346679688,6308.885
2023-01-20 18:16:07,2023-01-20 19:41:46,78.2328109741211,5138.954000000001
2023-01-20 19:57:01,2023-01-20 21:39:33,78.29117584228516,6151.990000000001
2023-01-20 21:41:35,2023-01-20 23:19:37,78.09662628173828,5882.387000000001
2023-01-20 23:22:33,2023-01-21 01:10:13,78.08689880371094,6460.1320000000005
2023-01-21 01:11:20,2023-01-21 03:01:20,78.03826141357422,6599.859
2023-01-21 03:01:32,2023-01-21 04:47:27,78.03826141357422,6355.530000000001
2023-01-21 05:04:45,2023-01-21 06:34:23,78.17120361328125,5377.853
2023-01-21 06:45:02,2023-01-21 08:12:50,78.21011352539062,5268.536
2023-01-21 08:40:19,2023-01-21 10:15:59,78.0252914428711,5740.407
2023-01-21 11:45:17,2023-01-21 13:13:55,78.17120361328125,5317.624000000001
2023-01-21 13:36:04,2023-01-21 15:01:39,78.11932373046875,5135.412
2023-01-21 15:15:30,2023-01-21 16:44:53,78.13877868652344,5362.379
2023-01-21 16:58:32,2023-01-21 18:25:30,78.08041381835938,5218.081
2023-01-21 18:36:34,2023-01-21 20:05:19,78.08689880371094,5324.732
2023-01-21 20:26:21,2023-01-21 21:57:03,78.03501892089844,5442.160000000001
